customer_id,order_date,order_value,order_qty_articles
17920,2010-12-06,221.5,82
16904,2011-01-19,192.26,133
14606,2011-02-18,15.0,1
14606,2011-08-08,203.23,48
16401,2011-05-01,471.84,428
17940,2011-05-24,-60.0,-1
17949,2011-05-23,-276.0,-72
17949,2011-09-01,480.0,96
17949,2011-10-24,-464.9,-1
14623,2011-06-06,205.18,91
16928,2011-04-18,379.56,236
16161,2011-07-25,-43.75,-35
13090,2010-12-09,847.8,121
15907,2011-12-06,437.93,253
16422,2011-03-17,-104.11,-121
16422,2011-03-31,-129.0,-5
16422,2011-04-14,-57.6,-1
16422,2011-04-26,-3.6,-15
16422,2011-04-28,353.71,343
16422,2011-06-02,-29.1,-13
16422,2011-06-21,-64.15,-3
16422,2011-07-14,-7.88,-1
16422,2011-07-28,-9.6,-1
16422,2011-08-09,-57.6,-1
16422,2011-09-22,-3.6,-120
13097,2011-09-23,799.47,311
17449,2011-04-19,300.09,186
17450,2011-02-11,-1132.08,-3
17450,2011-09-29,-1140.78,-189
14646,2011-08-31,-465.6,-768
13623,2011-11-09,140.42,138
17975,2011-04-26,670.65,237
13113,2011-06-30,152.33,73
17979,2011-11-04,253.17,121
16444,2011-03-20,103.18,71
12352,2011-03-01,144.35,26
12867,2011-09-04,659.99,763
13637,2011-04-27,422.6,215
16966,2011-10-28,-0.5,-1
16712,2011-11-21,895.97,563
14410,2011-03-28,175.92,118
14410,2011-09-08,74.09,28
14667,2011-06-13,480.98,157
14156,2011-08-10,131.87,390
15181,2010-12-14,-4.25,-1
17997,2011-09-21,16.39,102
14159,2011-10-30,518.55,699
17744,2011-01-17,-31.32,-36
16210,2011-01-21,10.0,1
17750,2011-07-15,307.41,731
17750,2011-09-01,191.74,478
16729,2011-04-18,273.71,303
16729,2011-07-05,490.44,361
17243,2011-08-18,267.0,48
17757,2011-06-01,122.74,64
13408,2011-08-05,-55.58,-2
14178,2011-11-11,246.86,232
14178,2011-12-01,420.12,508
12901,2011-08-08,-15.84,-144
15719,2011-01-06,433.04,224
17511,2011-09-21,4423.37,2600
18283,2011-04-21,117.68,87
18283,2011-09-05,134.9,95
13167,2011-10-03,242.12,246
14704,2011-10-19,615.07,566
17522,2011-06-09,539.12,539
13174,2011-01-27,692.3,270
14456,2011-07-31,494.27,480
14456,2011-12-04,381.71,533
15482,2011-10-14,40.0,1
17530,2011-02-15,344.69,200
13694,2011-10-10,-24.0,-3
14462,2011-03-17,243.39,117
16511,2011-03-18,340.75,124
13184,2011-04-01,94.9,71
14976,2011-10-13,230.9,72
12931,2011-02-10,-82.0,-200
14723,2010-12-03,250.94,115
16771,2011-03-09,704.33,353
12421,2011-06-19,238.58,144
17800,2011-07-01,124.9,81
15498,2011-10-18,-120.58,-1
15498,2011-12-09,-224.69,-1
12428,2011-03-01,4969.22,2127
12684,2011-05-16,30.0,2
16013,2011-06-13,-20.0,-1
15502,2011-06-28,-18.29,-11
15502,2011-08-08,159.12,1904
15502,2011-10-03,3155.95,1
13199,2011-02-02,15.0,1
17809,2011-07-18,-717.23,-1
17811,2011-01-10,185.97,83
12437,2011-11-03,997.03,662
16791,2011-01-11,255.38,130
13208,2011-10-11,382.35,213
16283,2011-07-10,194.66,233
15005,2011-04-07,144.86,94
16029,2011-05-03,-6930.0,-1
16029,2011-10-18,-79.2,-1
15518,2011-08-08,-6.76,-1
15521,2011-05-09,-125.0,-1
17315,2011-03-13,109.58,58
17571,2011-10-20,937.31,419
12709,2011-07-29,-84.19,-6
14502,2011-11-06,454.18,402
15527,2011-11-03,-64.11,-1
15529,2011-01-20,249.43,210
17323,2011-02-20,141.69,119
15532,2011-07-31,319.85,104
17068,2010-12-06,166.15,80
17837,2011-06-29,119.8,28
16814,2011-01-04,644.13,199
15023,2011-03-08,767.84,418
15023,2011-05-05,1051.99,631
13232,2011-05-27,260.21,173
14001,2011-06-21,-12.75,-3
14769,2011-09-18,3844.84,2748
17841,2011-01-04,516.97,230
17841,2011-03-14,174.86,110
17841,2011-05-03,307.44,143
