customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
14329,4928.74,281.76333333333332,13,12,321,321,24.69,379.13,236.54,7,1,12,281.76,4928.74,4928.74
12584,1693.5,94.605384615384622,14,13,271,272,19.36,120.96,22.07,7,1,13,94.61,1893.95,1893.95
13115,2205.6299999999997,170.04846153846151,14,13,358,358,25.57,157.55,109.57,10,1,13,170.05,2205.63,2205.63
14299,2855.3500000000008,191.52187500000005,17,16,358,358,21.06,167.96,118.41,8,1,16,191.52,2855.35,2855.35
15125,11117.050000000003,428.01000000000005,18,17,245,262,13.61,617.61,332.83,8,1,17,428.01,11117.05,11117.05
16145,3741.9800000000005,202.30588235294118,18,17,351,351,19.5,207.89,170.67,7,1,17,202.31,3741.98,3741.98
18223,5740.31,275.71684210526314,20,19,327,350,16.35,287.02,130.3,9,1,19,275.72,6315.23,6315.23
13267,4103.2400000000016,199.40473684210531,20,19,358,358,17.9,205.16,91.25,7,1,19,199.4,4404.44,4404.44
15358,7404.7400000000007,339.00950000000006,21,20,336,357,16.0,352.61,298.9,7,1,20,339.01,8234.8,8234.8
15194,6814.53,320.41850000000005,21,20,337,360,16.05,324.5,232.86,7,1,20,320.42,7521.17,7521.17
14189,4302.7499999999991,190.07190476190473,22,21,360,360,16.36,195.58,163.5,9,1,21,190.07,4604.31,4604.31
14194,10732.65,444.16086956521735,24,23,299,300,12.46,447.19,231.63,10,1,23,444.16,11216.75,11216.75
12709,9295.7500000000018,365.54375000000005,25,24,351,358,14.04,371.83,153.32,10,1,24,365.54,9294.1,9294.1
12474,7116.47,286.0188,26,25,351,360,13.5,273.71,183.23,10,1,25,286.02,7116.47,7116.47
13050,5684.6099999999988,214.26399999999995,26,25,357,358,13.73,218.64,142.58,9,1,25,214.26,5684.61,5684.61
13534,5255.88,155.39625,33,32,326,350,9.88,159.27,81.7,17,1,32,155.4,5613.08,5613.08
14591,1447.14,1196.92,2,1,198,205,99.0,723.57,648.5,0,0,1,1196.92,1447.14,1447.14
17664,604.64,278.45,2,1,194,204,97.0,302.32,302.0,0,0,1,278.45,604.64,604.64
