customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
17667,1356.67,428.62,2,1,87,118,43.5,678.34,362.5,0,0,1,428.62,2055.51,2055.51
16899,347.55,177.0,2,1,153,180,76.5,173.78,69.5,0,0,1,177.0,1281.56,1281.56
16266,371.84000000000003,113.55,2,1,6,26,3.0,185.92,75.0,0,0,1,113.55,861.89,861.89
16639,471.15,162.95,2,1,29,55,14.5,235.57,79.5,0,0,1,162.95,1169.38,1169.38
15862,491.01,136.78,2,1,169,193,84.5,245.5,179.5,0,0,1,136.78,832.88,832.88
15394,1436.44,848.78,2,1,154,178,77.0,718.22,273.0,0,0,1,848.78,2183.54,2183.54
16182,2517.0,1692.0,2,1,91,114,45.5,1258.5,750.0,0,0,1,1692.0,6617.65,6617.65
14049,3046.44,2026.63,2,1,117,137,58.5,1523.22,1012.5,0,0,1,2026.63,5639.15,5639.15
13771,1464.85,593.25,2,1,48,67,24.0,732.42,412.5,0,0,1,593.25,2631.7,2631.7
12613,1462.52,640.86,2,1,65,82,32.5,731.26,379.5,0,0,1,640.86,3218.98,3218.98
15172,526.2,179.8,2,1,40,56,20.0,263.1,240.0,0,0,1,179.8,1624.05,1624.05
16023,500.69000000000005,322.85,2,1,74,86,37.0,250.35,113.5,0,0,1,322.85,719.81,719.81
17589,1211.42,620.65,2,1,53,60,26.5,605.71,409.0,0,0,1,620.65,2404.17,2404.17
17361,263.91999999999996,218.92,2,1,105,111,52.5,131.96,31.5,0,0,1,218.92,488.2,488.2
16655,1230.7,418.45,2,1,146,151,73.0,615.35,256.0,0,0,1,418.45,3794.52,3794.52
14880,363.27,234.07,2,1,103,108,51.5,181.63,122.5,0,0,1,234.07,706.19,706.19
15712,458.65,158.85,2,1,104,107,52.0,229.32,88.0,0,0,1,158.85,1072.36,1072.36
15214,651.62999999999988,136.7,2,1,59,62,29.5,325.81,278.0,0,0,1,136.7,1661.44,1661.44
17284,928.45,212.34,2,1,101,156,50.5,464.23,386.5,0,0,1,212.34,1641.68,1641.68
17323,292.32,150.63,2,1,77,112,38.5,146.16,127.5,0,0,1,150.63,908.99,908.99
13901,648.3,433.9,2,1,62,138,31.0,324.15,154.0,0,0,1,433.9,2867.2,2867.2
17905,394.15,192.4,2,1,21,193,10.5,197.07,86.0,0,0,1,192.4,800.24,800.24
16409,803.56,532.0,2,1,75,137,37.5,401.78,267.5,0,0,1,532.0,2028.88,2028.88
16711,598.8,384.6,2,1,55,177,27.5,299.4,52.0,0,0,1,384.6,1651.03,1651.03
13137,863.83999999999992,645.91,2,1,56,128,28.0,431.92,266.5,0,0,1,645.91,3605.08,3605.08
14273,218.7,105.9,2,1,25,62,12.5,109.35,54.5,0,0,1,105.9,559.97,559.97
14449,401.3,191.06,2,1,126,192,63.0,200.65,168.0,0,0,1,191.06,907.1,907.1
14723,471.0,220.06,2,1,13,191,6.5,235.5,103.0,0,0,1,220.06,1158.3,1158.3
17720,532.38,430.38,2,1,142,187,71.0,266.19,101.0,0,0,1,430.38,1195.94,1195.94
17618,666.78,346.5,2,1,114,182,57.0,333.39,123.5,0,0,1,346.5,971.58,971.58
17033,608.1,300.3,2,1,145,179,72.5,304.05,95.0,0,0,1,300.3,1030.14,1030.14
17609,529.39,99.35,2,1,25,147,12.5,264.69,134.5,0,0,1,99.35,1103.92,1103.92
17180,549.21,303.12,2,1,75,136,37.5,274.61,263.0,0,0,1,303.12,780.38,780.38
13606,250.42000000000002,180.4,2,1,68,131,34.0,125.21,121.5,0,0,1,180.4,280.54,280.54
12878,854.99,539.81,2,1,30,86,15.0,427.5,273.5,0,0,1,539.81,841.64,841.64
16791,576.15,160.385,3,2,119,152,39.67,192.05,89.33,0,0,2,160.38,1706.28,1706.28
16841,943.18,312.9,3,2,102,107,34.0,314.39,259.33,0,0,2,312.9,1774.62,1774.62
15815,1394.08,483.54,3,2,47,79,15.67,464.69,356.0,0,0,2,483.54,2100.6,2100.6
17669,1611.0,567.75,3,2,39,69,13.0,537.0,297.33,0,0,2,567.75,3406.72,3406.72
12599,463.86,131.0,3,2,96,124,32.0,154.62,142.67,0,0,2,131.0,1032.58,1032.58
16466,522.84,205.585,3,2,112,112,37.33,174.28,106.67,0,0,2,205.59,1603.46,1603.46
17515,571.36999999999989,169.945,3,2,112,138,37.33,190.46,73.33,0,0,2,169.94,639.02,639.02
13824,1232.98,395.04999999999995,3,2,107,130,35.67,410.99,172.67,0,0,2,395.05,1698.94,1698.94
13831,1097.99,344.995,3,2,169,189,56.33,366.0,131.67,0,0,2,345.0,2202.99,2202.99
14289,594.22,135.99,3,2,90,109,30.0,198.07,71.33,0,0,2,135.99,911.26,911.26
13728,493.93,167.675,3,2,112,130,37.33,164.64,55.0,0,0,2,167.68,1016.14,1016.14
16434,724.22,161.61,3,2,107,119,35.67,241.41,130.33,0,0,2,161.61,1522.25,1522.25
14159,1114.62,460.7,3,2,175,182,58.33,371.54,315.0,0,0,2,460.7,4678.3,4678.3
16103,805.26,300.4,3,2,47,53,15.67,268.42,87.33,0,0,2,300.4,1429.64,1429.64
16153,700.1,242.54500000000002,3,2,169,174,56.33,233.37,136.0,0,0,2,242.55,1824.23,1824.23
13220,726.49,321.545,3,2,51,56,17.0,242.16,44.0,0,0,2,321.55,819.29,819.29
14401,980.56,366.59000000000003,3,2,177,179,59.0,326.85,277.33,0,0,2,366.59,4039.98,4039.98
18069,988.92,348.105,3,2,147,147,49.0,329.64,211.0,0,0,2,348.11,2021.82,2021.82
12826,697.1,271.05,3,2,49,185,16.33,232.37,204.33,0,0,2,271.05,1468.12,1468.12
16954,941.48,297.34000000000003,3,2,105,179,35.0,313.83,196.67,0,0,2,297.34,2085.08,2085.08
14901,490.75,143.3,3,2,12,192,4.0,163.58,68.0,0,0,2,143.3,1414.99,1414.99
17838,1687.6999999999998,485.27,3,2,80,192,26.67,562.57,346.67,0,0,2,485.27,2312.7,2312.7
12913,866.3900000000001,224.385,3,2,86,188,28.67,288.8,115.0,0,0,2,224.38,2483.63,2483.63
12370,2806.41,607.795,3,2,86,180,28.67,935.47,657.67,0,0,2,607.79,3545.69,3545.69
16771,1655.9500000000003,679.645,3,2,63,158,21.0,551.98,350.67,0,0,2,679.64,2246.81,2246.81
16186,1347.3500000000001,346.55666666666667,4,3,183,192,45.75,336.84,285.75,0,0,3,346.56,3991.94,3991.94
13629,2888.0,742.66666666666663,4,3,128,158,32.0,722.0,412.5,0,0,3,742.67,7792.36,7792.36
15910,550.61,133.70666666666668,4,3,109,136,27.25,137.65,107.75,0,0,3,133.71,1232.18,1232.18
12500,1210.2,288.42,4,3,67,153,16.75,302.55,227.0,0,0,3,288.42,4206.27,4206.27
14030,1435.02,252.84000000000003,4,3,123,186,30.75,358.75,162.5,0,0,3,252.84,2360.09,2360.09
14367,4061.77,769.6525,5,4,92,96,18.4,812.35,371.8,0,0,4,769.65,9167.82,9167.82
17001,1801.94,350.995,5,4,151,178,30.2,360.39,192.8,0,0,4,351.0,3989.57,3989.57
12524,2833.38,623.9975,5,4,129,153,25.8,566.68,424.6,0,0,4,624.0,4485.72,4485.72
14878,962.77,160.19,5,4,178,178,35.6,192.55,111.6,0,0,4,160.19,1485.54,1485.54
15298,1777.1999999999998,344.9,5,4,179,186,35.8,355.44,265.0,0,0,4,344.9,3774.1,3774.1
15356,1201.81,262.8975,5,4,150,188,30.0,240.36,132.8,0,0,4,262.9,2766.5,2766.5
14099,1321.46,234.485,5,4,136,174,27.2,264.29,248.0,0,0,4,234.49,3092.97,3092.97
17809,2650.7,653.975,5,4,156,193,31.2,530.14,116.4,0,0,4,653.98,4627.62,4627.62
