customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
18242,694.07999999999993,379.82,2,1,17,33,8.5,347.04,204.0,0,0,1,379.82,2232.49,2232.49
15756,249.12,125.53,2,1,36,69,18.0,124.56,53.0,0,0,1,125.53,532.96,532.96
13487,408.8,215.65,2,1,140,173,70.0,204.4,106.5,0,0,1,215.65,575.4,575.4
15134,239.45,129.35,2,1,27,60,13.5,119.72,81.5,0,0,1,129.35,1387.99,1387.99
15433,533.3,160.66,2,1,54,87,27.0,266.65,267.0,0,0,1,160.66,417.87,417.87
12372,914.92000000000007,515.7,2,1,84,116,42.0,457.46,296.0,0,0,1,515.7,1298.04,1298.04
14731,251.01999999999998,123.36,2,1,7,32,3.5,125.51,91.0,0,0,1,123.36,380.02,380.02
17164,943.22,316.09,2,1,61,93,30.5,471.61,301.0,0,0,1,316.09,2466.4,2466.4
18221,537.01,302.54,2,1,27,31,13.5,268.5,150.5,0,0,1,302.54,1033.31,1033.31
15106,778.45,367.75,2,1,58,89,29.0,389.23,280.0,0,0,1,367.75,1407.73,1407.73
16184,447.89,299.67,2,1,29,31,14.5,223.94,82.5,0,0,1,299.67,1155.54,1155.54
17388,763.2,381.6,2,1,76,107,38.0,381.6,360.0,0,0,1,381.6,1259.56,1259.56
17886,396.26,173.07,2,1,39,69,19.5,198.13,112.5,0,0,1,173.07,899.61,899.61
16660,384.36,101.76,2,1,109,139,54.5,192.18,114.0,0,0,1,101.76,810.45,810.45
17758,1054.83,471.04,2,1,42,70,21.0,527.41,332.5,0,0,1,471.04,3456.7,3456.7
17107,4118.8099999999995,2423.6,2,1,70,98,35.0,2059.4,925.5,0,0,1,2423.6,10380.43,10380.43
16206,288.75,127.45,2,1,119,147,59.5,144.38,76.5,0,0,1,127.45,537.06,537.06
16809,341.13,128.8,2,1,54,82,27.0,170.56,137.5,0,0,1,128.8,912.74,912.74
17302,303.12,120.27,2,1,97,125,48.5,151.56,95.0,0,0,1,120.27,1119.93,1119.93
13381,1071.35,655.24,2,1,91,118,45.5,535.67,298.5,0,0,1,655.24,3626.81,3626.81
12993,175.3,72.4,2,1,91,118,45.5,87.65,46.0,0,0,1,72.4,414.76,414.76
12714,1761.92,793.62,2,1,88,114,44.0,880.96,616.0,0,0,1,793.62,4708.86,4708.86
18043,451.80999999999995,135.35,2,1,160,186,80.0,225.9,123.0,0,0,1,135.35,559.51,559.51
13309,546.64,155.93,2,1,102,128,51.0,273.32,308.0,0,0,1,155.93,1456.79,1456.79
14583,314.33,139.82,2,1,20,25,10.0,157.16,126.5,0,0,1,139.82,1052.55,1052.55
13719,338.74,205.84,2,1,29,54,14.5,169.37,93.0,0,0,1,205.84,1041.68,1041.68
13627,605.92000000000007,294.73,2,1,153,177,76.5,302.96,219.5,0,0,1,294.73,1624.02,1624.02
13405,557.45,397.4,2,1,113,137,56.5,278.73,81.5,0,0,1,397.4,572.45,572.45
16813,316.8,110.55,2,1,13,24,6.5,158.4,108.5,0,0,1,110.55,1692.98,1692.98
18145,1023.78,414.77,2,1,108,132,54.0,511.89,431.5,0,0,1,414.77,2861.55,2861.55
13591,776.23,314.03,2,1,62,86,31.0,388.12,131.5,0,0,1,314.03,1117.13,1117.13
13450,678.54,437.94,2,1,14,38,7.0,339.27,289.0,0,0,1,437.94,2043.72,2043.72
17867,591.3,578.55,2,1,85,108,42.5,295.65,146.0,0,0,1,578.55,622.75,622.75
15237,1093.6499999999999,154.73,2,1,24,47,12.0,546.82,399.0,0,0,1,154.73,1412.32,1412.32
16249,1020.53,205.7,2,1,38,59,19.0,510.27,243.5,0,0,1,205.7,1800.07,1800.07
14514,403.11,147.86,2,1,130,151,65.0,201.56,86.5,0,0,1,147.86,1055.35,1055.35
13527,585.64,475.19,2,1,125,146,62.5,292.82,115.0,0,0,1,475.19,2263.76,2263.76
13946,485.97,276.12,2,1,66,87,33.0,242.99,131.5,0,0,1,276.12,561.57,561.57
17686,3036.75,1444.14,2,1,102,122,51.0,1518.38,611.5,0,0,1,1444.14,5739.46,5739.46
15563,735.62,465.43,2,1,158,178,79.0,367.81,371.0,0,0,1,465.43,1319.69,1319.69
12670,1026.3899999999999,393.34,2,1,33,52,16.5,513.19,244.0,0,0,1,393.34,2986.15,2986.15
13213,551.53,136.25,2,1,16,19,8.0,275.76,162.5,0,0,1,136.25,1518.43,1518.43
13523,2369.24,1802.29,2,1,167,186,83.5,1184.62,414.0,0,0,1,1802.29,3755.38,3755.38
15819,1177.1399999999999,537.5,2,1,77,96,38.5,588.57,457.0,0,0,1,537.5,1905.45,1905.45
17058,819.66000000000008,236.94,2,1,40,59,20.0,409.83,227.5,0,0,1,236.94,1179.89,1179.89
14163,749.79,337.92,2,1,40,59,20.0,374.89,140.5,0,0,1,337.92,2445.91,2445.91
15132,489.87,176.1,2,1,63,82,31.5,244.94,188.5,0,0,1,176.1,977.93,977.93
15203,692.9,480.96,2,1,113,131,56.5,346.45,336.5,0,0,1,480.96,1827.8,1827.8
12654,337.75,171.15,2,1,98,115,49.0,168.88,75.5,0,0,1,171.15,601.98,601.98
12937,428.23,210.8,2,1,70,87,35.0,214.12,134.0,0,0,1,210.8,1504.27,1504.27
12910,1142.5,422.28,2,1,44,61,22.0,571.25,327.0,0,0,1,422.28,3075.04,3075.04
