customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
16357,257.95,120.05,2,1,51,151,25.5,128.97,27.5,0,0,1,120.05,658.88,658.88
13487,408.8,215.65,2,1,140,291,70.0,204.4,106.5,0,0,1,215.65,575.4,575.4
15865,603.85,289.92,2,1,125,151,62.5,301.93,156.0,0,0,1,289.92,895.13,895.13
14649,903.3,319.08,2,1,140,150,70.0,451.65,332.5,0,0,1,319.08,1417.29,1417.29
14731,251.01999999999998,123.36,2,1,7,150,3.5,125.51,91.0,0,0,1,123.36,380.02,380.02
17932,934.51,345.5,2,1,38,149,19.0,467.25,296.5,0,0,1,345.5,1331.57,1331.57
17886,396.26,173.07,2,1,39,187,19.5,198.13,112.5,0,0,1,173.07,899.61,899.61
16660,384.36,101.76,2,1,109,257,54.5,192.18,114.0,0,0,1,101.76,810.45,810.45
15440,237.66,111.86,2,1,72,146,36.0,118.83,62.5,0,0,1,111.86,383.68,383.68
16877,188.98000000000002,111.23,2,1,56,146,28.0,94.49,52.0,0,0,1,111.23,853.72,853.72
17898,152.06,52.22,2,1,122,145,61.0,76.03,95.0,0,0,1,52.22,152.06,152.06
18043,451.80999999999995,135.35,2,1,160,304,80.0,225.9,123.0,0,0,1,135.35,559.51,559.51
17047,1100.9,351.47,2,1,120,143,60.0,550.45,266.5,0,0,1,351.47,1100.9,1100.9
13719,338.74,205.84,2,1,29,172,14.5,169.37,93.0,0,0,1,205.84,1041.68,1041.68
12620,939.31999999999994,377.66,2,1,124,142,62.0,469.66,370.0,0,0,1,377.66,1339.41,1339.41
14514,403.11,147.86,2,1,130,269,65.0,201.56,86.5,0,0,1,147.86,1055.35,1055.35
13555,4149.28,2559.23,2,1,128,139,64.0,2074.64,1330.0,0,0,1,2559.23,4149.28,4149.28
12360,1618.28,534.7,2,1,88,138,44.0,809.14,337.0,0,0,1,534.7,2662.06,2662.06
15563,735.62,465.43,2,1,158,296,79.0,367.81,371.0,0,0,1,465.43,1319.69,1319.69
17521,497.75,338.19,2,1,134,137,67.0,248.88,166.5,0,0,1,338.19,721.96,721.96
12654,337.75,171.15,2,1,98,233,49.0,168.88,75.5,0,0,1,171.15,601.98,601.98
17345,284.13,155.8,2,1,103,134,51.5,142.06,89.0,0,0,1,155.8,537.74,537.74
14447,601.03,336.03,2,1,84,218,42.0,300.51,156.5,0,0,1,336.03,1163.23,1163.23
12787,344.65999999999997,186.56,2,1,101,130,50.5,172.33,105.0,0,0,1,186.56,463.66,463.66
16969,478.96000000000004,81.6,2,1,57,129,28.5,239.48,370.0,0,0,1,81.6,650.41,650.41
18135,233.47,123.65,2,1,110,128,55.0,116.73,72.5,0,0,1,123.65,681.91,681.91
14700,1557.6,836.05,2,1,49,176,24.5,778.8,429.0,0,0,1,836.05,2235.3,2235.3
13637,684.85,262.25,2,1,39,164,19.5,342.43,177.0,0,0,1,262.25,810.5,810.5
12380,1233.56,626.01,2,1,107,123,53.5,616.78,291.5,0,0,1,626.01,2720.56,2720.56
17015,1569.98,1045.48,2,1,114,123,57.0,784.99,851.0,0,0,1,1045.48,1842.56,1842.56
12990,263.9,166.4,2,1,125,248,62.5,131.95,65.0,0,0,1,166.4,409.5,409.5
15743,434.05,111.5,2,1,71,122,35.5,217.03,59.5,0,0,1,111.5,784.46,784.46
14477,523.0,358.0,2,1,113,235,56.5,261.5,150.0,0,0,1,358.0,1307.81,1307.81
12808,281.35,151.95,2,1,184,306,92.0,140.68,54.0,0,0,1,151.95,483.65,483.65
12597,1428.81,912.66,2,1,85,206,42.5,714.4,337.5,0,0,1,912.66,3683.13,3683.13
12694,869.67000000000007,430.17,2,1,113,121,56.5,434.84,254.5,0,0,1,430.17,869.67,869.67
15681,703.22,357.54,2,1,97,218,48.5,351.61,225.0,0,0,1,357.54,946.36,946.36
16005,298.08,120.49,2,1,88,208,44.0,149.04,63.5,0,0,1,120.49,615.39,615.39
15267,1407.76,372.0,2,1,27,120,13.5,703.88,352.0,0,0,1,372.0,1717.36,1717.36
12516,1312.06,728.86,2,1,103,118,51.5,656.03,437.5,0,0,1,728.86,1312.06,1312.06
13617,365.70000000000005,234.59,2,1,67,118,33.5,182.85,94.0,0,0,1,234.59,544.18,544.18
16205,435.5,323.15,2,1,112,117,56.0,217.75,159.5,0,0,1,323.15,761.38,761.38
14719,488.12,264.66,2,1,70,187,35.0,244.06,199.0,0,0,1,264.66,1592.18,1592.18
17043,324.97,150.37,2,1,88,204,44.0,162.49,178.5,0,0,1,150.37,1735.18,1735.18
14503,1284.45,687.38,2,1,108,116,54.0,642.23,470.5,0,0,1,687.38,3543.26,3543.26
14997,433.67999999999995,278.4,2,1,90,116,45.0,216.84,462.0,0,0,1,278.4,540.98,540.98
