customer_id,monetary_dnn,monetary_btyd,frequency_dnn,frequency_btyd,recency,T,time_between,avg_basket_value,avg_basket_size,cnt_returns,has_returned,frequency_btyd_clipped,monetary_btyd_clipped,target_monetary_clipped,target_monetary
12684,1379.48,296.79333333333335,4,3,43,90,10.75,344.87,318.5,0,0,3,296.79,2283.63,2283.63
12712,3541.4300000000003,280.49166666666667,13,12,224,248,17.23,272.42,62.77,3,1,12,280.49,4241.63,4241.63
16672,5872.19,361.28846153846155,14,13,139,143,9.93,419.44,151.36,1,1,13,361.29,8093.59,8093.59
12901,9829.47,498.92999999999989,20,19,147,147,7.35,491.47,467.8,5,1,19,498.93,16293.1,16293.1
14462,1247.31,189.66833333333332,7,6,194,216,27.71,178.19,78.14,1,1,6,189.67,1965.9,1965.9
14688,3833.4500000000003,242.03357142857143,15,14,244,250,16.27,255.56,184.27,0,0,14,242.03,5107.38,5107.38
14505,3147.3199999999997,419.39399999999995,6,5,158,239,26.33,524.55,223.5,1,1,5,419.39,5818.7,5818.7
17581,4855.35,452.06333333333339,10,9,230,249,23.0,485.54,262.4,4,1,9,452.06,10736.11,10736.11
12843,1670.8100000000002,262.9016666666667,7,6,105,141,15.0,238.69,107.43,0,0,6,262.9,1680.76,1680.76
18242,694.07999999999993,379.82,2,1,17,90,8.5,347.04,204.0,0,0,1,379.82,2232.49,2232.49
13695,1202.7700000000002,139.95375,9,8,131,136,14.56,133.64,81.56,0,0,8,139.95,2504.13,2504.13
15756,364.84000000000003,120.625,3,2,97,126,32.33,121.61,55.67,0,0,2,120.63,532.96,532.96
16791,576.15,160.385,3,2,119,209,39.67,192.05,89.33,0,0,2,160.38,1706.28,1706.28
13767,9171.3899999999976,279.468064516129,32,31,250,250,7.81,286.61,116.44,9,1,31,279.47,16945.71,16945.71
14051,7811.5900000000011,479.21133333333341,16,15,225,243,14.06,488.22,128.31,3,1,15,479.21,15477.34,15477.34
16357,257.95,120.05,2,1,51,90,25.5,128.97,27.5,0,0,1,120.05,658.88,658.88
13487,408.8,215.65,2,1,140,230,70.0,204.4,106.5,0,0,1,215.65,575.4,575.4
14587,1470.63,178.54,8,7,147,208,18.38,183.83,90.75,0,0,7,178.54,1598.24,1598.24
16710,1843.8899999999999,244.73666666666665,7,6,230,245,32.86,263.41,199.29,0,0,6,244.74,2483.04,2483.04
17700,1099.8200000000002,369.89000000000004,4,3,159,242,39.75,274.96,123.5,2,1,3,369.89,2508.89,2508.89
13881,5713.4,781.34333333333336,7,6,170,188,24.29,816.2,556.0,1,1,6,781.34,16989.52,16989.52
14766,1481.02,302.184,6,5,204,249,34.0,246.84,159.67,2,1,5,302.18,2423.07,2423.07
15615,5861.48,398.3575,13,12,205,236,15.77,450.88,230.08,3,1,12,398.36,10360.04,10360.04
16525,8518.6700000000019,405.36150000000004,21,20,238,243,11.33,405.65,218.33,2,1,20,405.36,11895.57,11895.57
14534,2742.6999999999994,217.39363636363635,12,11,183,195,15.25,228.56,116.17,0,0,11,217.39,4075.35,4075.35
17315,3615.2699999999995,154.61956521739128,24,23,230,234,9.58,150.64,108.38,0,0,23,154.62,6204.46,6204.46
14849,4204.8400000000011,427.66666666666674,10,9,232,250,23.2,420.48,293.1,2,1,9,427.67,7904.28,7904.28
14209,1515.3500000000001,291.85,5,4,192,209,38.4,303.07,94.0,1,1,4,291.85,2067.13,2067.13
13098,13645.790000000003,652.81700000000012,21,20,190,194,9.05,649.8,370.9,5,1,20,652.82,28658.88,28658.88
15134,614.86,168.25333333333333,4,3,113,117,28.25,153.72,97.5,0,0,3,168.25,1387.99,1387.99
